UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,temp_difference,high_risk_rpm,power_consumption_kw,efficiency_score,cost_per_hour_tl,optimization_priority
1,M14860,M,298.1,308.6,1551.0,42.8,0.0,0.0,No Failure,10.5,0,1.14842244,37.26851593042713,1.378106928,2
2,L47181,L,298.2,308.7,1408.0,46.3,3.0,0.0,No Failure,10.5,0,1.1277939199999998,41.053599579611145,1.3533527039999997,0
3,L47182,L,298.1,308.5,1498.0,49.4,5.0,0.0,No Failure,10.399999999999977,0,1.28022076,38.58709493197095,1.5362649119999998,0
4,L47183,L,298.2,308.6,1433.0,39.5,7.0,0.0,No Failure,10.400000000000034,0,0.9792405500000001,40.337381861892865,1.1750886600000001,0
5,L47184,L,298.2,308.7,1408.0,40.0,9.0,0.0,No Failure,10.5,0,0.9743360000000001,41.05359957961114,1.1692032,0
6,M14865,M,298.1,308.6,1425.0,41.9,11.0,0.0,No Failure,10.5,0,1.03293975,40.563837339012274,1.2395276999999998,0
7,L47186,L,298.1,308.6,1558.0,42.4,14.0,0.0,No Failure,10.5,0,1.14282416,37.10107073690147,1.371388992,2
8,L47187,L,298.1,308.6,1527.0,40.2,16.0,0.0,No Failure,10.5,0,1.06196742,37.85426863660281,1.274360904,2
9,M14868,M,298.3,308.7,1667.0,28.6,18.0,0.0,No Failure,10.399999999999977,0,0.8247982600000001,34.67514589567635,0.9897579120000001,2
10,M14869,M,298.5,309.0,1741.0,28.0,21.0,0.0,No Failure,10.5,0,0.8433404000000001,33.20130281912262,1.01200848,2
11,H29424,H,298.4,308.9,1782.0,23.9,24.0,0.0,No Failure,10.5,0,0.73680354,32.43741201351991,0.884164248,2
12,H29425,H,298.6,309.1,1423.0,44.3,29.0,0.0,No Failure,10.5,0,1.09057297,40.62084905698699,1.308687564,0
13,M14872,M,298.6,309.1,1339.0,51.1,34.0,0.0,No Failure,10.5,0,1.1837161699999998,43.169132343609036,1.4204594039999998,0
14,M14873,M,298.6,309.2,1742.0,30.0,37.0,0.0,No Failure,10.599999999999966,0,0.904098,33.18224351784873,1.0849175999999998,2
